Title,Details,Director,Actors,Original Title,Summary,User Rating
Baba,"2s 55dk | | | Dedektif | , | Dram",Yönetmen | Francis Ford Coppola,"Oyuncular:, Marlon Brando, ,, Al Pacino, ,, James Caan","2s 55dk
                                        
                                            |
Dedektif,
                                                                                                                                                    
                                                                                Dram","Baba, 40’lar ve 50’lerin Amerika’sında, bir İtalyan mafya ailesinin destansı öyküsünü konu alıyor. Don Corleone’nin kızı Connie’nin düğününde, ailenin en küçük oğlu ve bir savaş gazisi olan Michael babasıyla barışır. Bir suikast girişimi, Don’u artık işleri yönetemeyecek duruma düşürünce, ailenin başına ...","4,8"
Yüzüklerin Efendisi: Kralın Dönüşü,"3s 21dk | | | Macera | , | Fantastik",Yönetmen | Peter Jackson,"Oyuncular:, Sean Astin, ,, Elijah Wood, ,, Viggo Mortensen","3s 21dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Fantastik","Yüzüklerin Efendisi: Kralın Dönüşü, Tek Yüzük'ün yok edilmesi için verilen mücadeleyi konu ediyor. Sauron'un orduları büyüdükçe büyümektedirler. Frodo ve onun can dostu Sam, korku dolu bir yolculuğun göbeğinde, korkunç Mordor'a adım adım yaklaşmaktadırlar. Tek yüzük yok edilmelidir ve iyilik bunun için savaşmaya ...","4,7"
Yeşil Yol,"3s 9dk | | | Dedektif | , | Dram | , | Fantastik",Yönetmen | Frank Darabont,"Oyuncular:, Tom Hanks, ,, Michael Clarke Duncan, ,, David Morse","3s 9dk
                                        
                                            |
Dedektif,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Fantastik","Yeşil Yol, bir hapishane görevlisi ile bir mahkumun öyküsünü anlatıyor. Paul Edgecomb'un hapishanedeki görevi, idama mahkum edilen mahkumları son yolculuklarına uğurlamaktır. Çalıştığı yıllar içerisinde yüzlerce mahkumu idam etmiştir. Bir gün John Coffey isimli korkutucu görünümlü bir adamla tanışır. Ancak Coffey'in bu ...","4,7"
Baba 2,"3s 20dk | | | Dedektif | , | Dram",Yönetmen | Francis Ford Coppola,"Oyuncular:, Al Pacino, ,, Robert De Niro, ,, Diane Keaton","3s 20dk
                                        
                                            |
Dedektif,
                                                                                                                                                    
                                                                                Dram","Baba 2, 1972 yapımı ilk filmin devamı niteliğinde, yine yazar Mario Puzo ve yönetmen Francis Ford Coppola’nın yaratıcı ellerinden çıkmış usta işi bir yapım. Film, altı adet Oscar ödülü kazanmıştır. Genç Corleone, Amerika’ya yeni gelmiştir. 1917 yılında, New York şehri’nin yerel mafyalarından birinin liderini ...","4,7"
Forrest Gump,"2s 20dk | | | Komedi | , | Dram | , | Romantik",Yönetmen | Robert Zemeckis,"Oyuncular:, Tom Hanks, ,, Gary Sinise, ,, Robin Wright","2s 20dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Romantik","Forrest Gump, düşük I.Q. sahibi genç bir adamdır. Jenny ile tanıştığında ona aşık olur. Gump aralarında Elvis Presley, Kennedy, Nixon’ın da olduğu tarihsel kişilerle kaza eseri tanışır ve 50’lerden 70’lerin sonuna kadar gelen bir süre zarfında olaylar gelişir. Gump tamamen tesadüf olarak Vietnam savaşına ve Amerikan ...","4,7"
Sevginin Gücü,"1s 43dk | | | Aksiyon | , | Dedektif | , | Dram",Yönetmen | Luc Besson,"Oyuncular:, Jean Reno, ,, Gary Oldman, ,, Natalie Portman","1s 43dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dedektif,
                                                                                                                                                    
                                                                                Dram","Sevginin Gücü, masum bir kız ve bir katilin hikayesini anlatıyor. Onların birbirlerinden başka kaybedecek hiçbir şeyleri yok. Erkek duygusuzca öldürüyor. Zayıf noktasını sadece 12 yaşındaki bir kız biliyor.12 yaşında New York’ta yaşayan Mathilda, üvey ailesinin yanında sevimsiz bir yaşamı paylaşmaktadır. Babası, iki ...","4,7"
Yüzüklerin Efendisi: Yüzük Kardeşliği,"2s 58dk | | | Macera | , | Fantastik",Yönetmen | Peter Jackson,"Oyuncular:, Elijah Wood, ,, Sean Astin, ,, Ian McKellen","2s 58dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Fantastik","Yüzüklerin Efendisi: Yüzük Kardeşliği, dünyanın kaderini değişterecek olan yüzükten kurtulmak için verilen mücadeleyi konu ediyor. Yıllar önce üretilen ve Orta Dünya topraklarına kandan başka hiçbir şey getirmeyen yüzüklerin sonuncusu, üretiminden yüz yıllar sonra ortaya çıkar. Amcasının kendisine emanet ettiği ...","4,7"
Gladyatör,"2s 35dk | | | Aksiyon | , | Macera | , | Tarihi",Yönetmen | Ridley Scott,"Oyuncular:, Russell Crowe, ,, Joaquin Phoenix, ,, Connie Nielsen","2s 35dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Macera,
                                                                                                                                                    
                                                                                Tarihi","Gladyatör'de,İmparator Marcus Aurelius’un hüküm sürdüğü Roma’da bir general olan Maximus imparatorluğun hiyerarşik basamaklarında gitgide yükselmektedir. Babasının kendisini kayırmak yerine Maximus adındaki bu yabancıyı el üstünde tutması da tahtın asıl varisi olan Commodus’u rahatsız etmektedir. Commodus, Maximus ve ...","4,7"
Matrix,"2s 15dk | | | Aksiyon | , | Bilim Kurgu","Yönetmen | Lana Wachowski | , | Lilly Wachowski","Oyuncular:, Keanu Reeves, ,, Laurence Fishburne, ,, Carrie-Anne Moss","2s 15dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu","Bir yaşanan gerçek vardır, bir de yaşananın ötesinde olan gerçeklik... Biri rüya, diğeri ise Matrix! Neo,son derece tehlikeli bir adam olan Morpheus’un gerçeği bildiğine inanmaktadır. Bir gece Neo, kendisini başka bir dünyaya götürebilecek güzel yabancı Trinity ile tanışır. Bu kızın götüreceği dünyada, Neo Morpheus’u ...","4,7"
Yüzüklerin Efendisi: İki Kule,"2s 59dk | | | Macera | , | Fantastik",Yönetmen | Peter Jackson,"Oyuncular:, Elijah Wood, ,, Sean Astin, ,, Viggo Mortensen","2s 59dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Fantastik","Yüzüklerin Efendisi: İki Kule'de, Yüzük Kardeşliği üyelerinin her birinin, kardeşlik bozulduktan sonra başlarına gelenler anlatılıyor. Kahramanlarımız, gruplar halinde Orta Dünya’nın en tehlikeli yerlerinde maceralar yaşayacaklar, yeni kavimler ve çoktan unutulmuş medeniyetlerle tanışacaklar.Frodo ve Sam, yanlarında zorunlu ...","4,7"
Çağrı,"2s 57dk | | | Biyografik | , | Dram",Yönetmen | Moustapha Akkad,"Oyuncular:, Anthony Quinn, ,, Irène Papas, ,, Michael Ansara","2s 57dk
                                        
                                            |
Biyografik,
                                                                                                                                                    
                                                                                Dram","Çağrı, İslam'ın doğuş hikayesini konu ediyor.","4,7"
Dövüş Kulübü,"2s 19dk | | | Dram | , | Gerilim",Yönetmen | David Fincher,"Oyuncular:, Brad Pitt, ,, Edward Norton, ,, Helena Bonham Carter","2s 19dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Gerilim","Dövüş Kulübünün birinci kuralı: Asla Dövüş Kulübü hakkında konuşma... Dövüş Kulübünün ikinci kuralı: Asla ve asla dövüş kulübü hakkında konuşma... Jack, hayatın sıradanlığına kapılmış bir sigorta memurudur. Uzun bir süredir 'insomnia' yani uykusuzluk hastalığından şikayetçidir. Kendi psikolojik ...","4,7"
Er Ryan’ı Kurtarmak,"2s 43dk | | | Dram | , | Savaş Filmi",Yönetmen | Steven Spielberg,"Oyuncular:, Ryan Hurst, ,, Tom Hanks, ,, Tom Sizemore","2s 43dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Savaş Filmi","Er Ryan’ı Kurtarmak'ta, dört çocuk annesi bir kadı İkinci Dünya Savaşı’nda kaybettiği üç oğlunun ardından fazlasıyla yaralanmıştır. Şimdi tek dileği hayatta kalan tek oğlunun savaştan sağ salim dönmesidir. Yakarışları karşılık bulur ve Başkan tarafından verilen bir emirle James Ryan’ın ne pahasına olursa olsun ...","4,7"
Hayat Güzeldir,"1s 57dk | | | Komedi | , | Dramatik komedi | , | Dram",Yönetmen | Roberto Benigni,"Oyuncular:, Roberto Benigni, ,, Horst Buchholz, ,, Marisa Paredes","1s 57dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Dramatik komedi,
                                                                                                                                                    
                                                                                Dram","Hayat Güzeldir'de, başkahramanımız hayat dolu Guido’nun güzeller güzeli öğretmen Dora’ya vurulur ve tüm engellere rağmen evlenirler. Ardından bir de çocuk sahibi olan çiftin hayatlarındaki tüm pürüzler ortadan kalktığında savaş patlak verir. Yahudi oldukları için toplama kampına götürüldüklerinde Guido, oğluna esir ...","4,7"
Titanik,"3s 14dk | | | Dram | , | Romantik",Yönetmen | James Cameron,"Oyuncular:, Leonardo DiCaprio, ,, Kate Winslet, ,, Billy Zane","3s 14dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Romantik","Dünyanın hatırlamak istemediği türden felaketlerden olan 'Titanik faciası', dev prodüksiyonların yönetmeni James Cameron tarafından çekilen görkemli bir film. Teknolojinin son sürat ilerlediği bir dönemde, insanlar üstesinden gelemeyecekleri hiç bir sorun olamayacağına inanmaya başlamışlardır. 'Titanic' adlı dev ...","3,5"
Kadın Kokusu,2s 37dk | | | Dram,Yönetmen | Martin Brest,"Oyuncular:, Al Pacino, ,, Chris O'Donnell, ,, James Rebhorn","2s 37dk
                                        
                                            |
Dram","Bir kolej öğrencisi olan Charlie, paraya ihtiyacı olduğundan kör bir adama, bir nevi 'bebek bakıcılığı' yapmaya razı olur ama iş, umduğu kadar basit olmayacaktır. Çünkü Emekli Albay Frank Slate’in haftasonu için çok özel bir planı vardır.Bu plana yolculuk, kadınlar, iyi bir yemek, birinci kalite şarap, tango, limuzin ve ne ...","4,6"
Prestij,"2s 8dk | | | Dram | , | Gerilim",Yönetmen | Christopher Nolan,"Oyuncular:, Hugh Jackman, ,, Christian Bale, ,, Michael Caine","2s 8dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Gerilim","Prestij, birbirini alt etmeye çalışan iki sihirbazın hikayesini anlatıyor. 19.yy sonlarında Londra’da Robert Angier, sevgili eşi Julia McCullough ve Alfred Borden hem arkadaştırlar hem de bir sihirbazın asistanlarıdırlar. Bir gösteri esnasında Julia ölünce Robert, onun ölümünden Alfred’i suçlar ve birbirlerine düşman ...","4,6"
Buz Devri,"1s 21dk | | | Animasyon | , | Komedi","Yönetmen | Chris Wedge | , | Carlos Saldanha","Oyuncular:, Ray Romano, ,, John Leguizamo, ,, Denis Leary","1s 21dk
                                        
                                            |
Animasyon,
                                                                                                                                                    
                                                                                Komedi","Buzul çağı, dünyaya hüküm sürmeye başlamıştır. Bu ıssız ve korkunç dünyada bir başlarına olan zavallı hayvanlar, bir şekilde hayatta kalmanın yollarını aramaktadırlar. Uzun tüylü, kendi halinde bir mamut; karizmatik ve dişli bir kaplan ve muzır bir rakun, nasıl olduysa bu kaos esnasında bir araya gelmişlerdir. Bu üç ...","4,6"
Akıl Oyunları,2s 14dk | | | Dram,Yönetmen | Ron Howard,"Oyuncular:, Russell Crowe, ,, Ed Harris, ,, Jennifer Connelly","2s 14dk
                                        
                                            |
Dram","Akıl Oyunları, asosyal bir matematikçi olan John Nash'in hayatını konu ediyor. John Forbes Nash azandığı bir bursla Princeton Üniversitesi'nde öğrenim görmeye başlar. Bu süreçte parlak zekasını her daim hissettiren ve çevresindekilerle uyum sorunu yaşayan dahi Nash, inanılmaz bir teoriyi ortaya sürüp kanıtlama aşamasına ...","4,6"
Terminatör 2: Mahşer Günü,"2s 17dk | | | Aksiyon | , | Bilim Kurgu",Yönetmen | James Cameron,"Oyuncular:, Arnold Schwarzenegger, ,, Linda Hamilton, ,, Edward Furlong","2s 17dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu","Terminatör 2: Mahşer Günü, 2009 yılında geçmektedir. Sarah Connor’ı öldürme görevinde başarısızlığa uğrayan Synet robotları, T-1000 adında yeni bir robot üretirler. Bu yeni “Terminatör” geçmişe dönerek insan direnişinin gelecekteki lideri olacak Sarah’ın oğlu John Connar’ı öldürmeye programlanır. Fakat bir ...","4,6"
Başlangıç,"2s 28dk | | | Bilim Kurgu | , | Gerilim",Yönetmen | Christopher Nolan,"Oyuncular:, Leonardo DiCaprio, ,, Marion Cotillard, ,, Elliot Page","2s 28dk
                                        
                                            |
Bilim Kurgu,
                                                                                                                                                    
                                                                                Gerilim","Leonardo DiCaprio bu yapımda, çok yetenekli bir hırsız olan ""Dom Cobb "" ile karşımızda. Uzmanlık alanı, zihnin en karanlık ve savunmasız olduğu rüya görme anında, bilinçaltının derinliklerindeki değerli sırları çekip çıkarmak ve onları çalmaktır. Cobb'un bu nadir insanlarda görülebilecek yeteneği, bu ender ...","4,6"
Karayip Korsanları: Siyah İnci’nin Laneti,"2s 23dk | | | Aksiyon | , | Macera | , | Fantastik",Yönetmen | Gore Verbinski,"Oyuncular:, Johnny Depp, ,, Geoffrey Rush, ,, Keira Knightley","2s 23dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Macera,
                                                                                                                                                    
                                                                                Fantastik","Karayip Korsanları: Siyah İnci’nin Laneti, genç bir kızı kurtarmaya çalışan korsan Jack Sparrow ile demirci Will Turner'ın maceralarını anlatıyor. Yerel vali Weatherby Swann'ın 12 yaşındaki kızı Elizabeth, Jamaica'ya yaptığı deniz yolculuğu esnasında bir gemi enkazıyla karşılaşırlar. Bu enkazdan kurtulabilen tek kişi ...","4,6"
Geçmişin Gölgesinde,"1s 59dk | | | Dedektif | , | Dram",Yönetmen | Tony Kaye,"Oyuncular:, Edward Norton, ,, Edward Furlong, ,, Elliott Gould","1s 59dk
                                        
                                            |
Dedektif,
                                                                                                                                                    
                                                                                Dram","Geçmişin Gölgesinde, ölüdürülen babasının intikamını almaya çalışan bir gencin hikayesini anlatıyor. Babasının uyuşturucu satıcısı bir zenci tarafından öldürülmesinden sonra Derek faşist bir çetenin önemli bir üyesi haline gelmiştir. Babasının ölümünün intikamını bu örgütün, kendileri gibi olmayanlara ...","4,6"
Piyanist,"2s 28dk | | | Dram | , | Tarihi",Yönetmen | Roman Polanski,"Oyuncular:, Adrien Brody, ,, Thomas Kretschmann, ,, Emilia Fox","2s 28dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Tarihi","Piyanist, İkinci Dünya Savaşı sırasında yaşanan gerçek bir dramı konu alır. Polonya’lı ünlü piyanist Wladyslaw Szpilman’ın anılarını anlattığı aynı isimli kitaptan sinemaya uyarlanan film, Nazi işgali altındaki Polonya’da yaşamanın imkansızlaştırıldığı bir dönemde, bir şekilde esir kampına gitmekten kurtulan ...","4,6"
